Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,,,,,,,,,,
Estaci�n: 46250050-Val�ncia - Bulevard Sud,,,,,,,,,,,,,,,,,,,

FECHA,NO,NO2,PM10,Ni,NOx,O3,As,Pb,BaP,Cd,NH3,FA,DahA,IcdP,BkFA,BjFA,BbFA,BaA,SO2
11/02/2020,23,34,33,"4,65",68,24,"0,42","0,01",,"0,17",5,,,,,,,,7
12/02/2020,27,31,39,,71,33,,,,,6,,,,,,,,5
13/02/2020,43,45,54,"2,69",111,21,"0,56","0,01",,"0,17",5,,,,,,,,6
14/02/2020,34,38,35,,90,21,,,,,6,,,,,,,,5
15/02/2020,17,25,35,"2,28",51,34,"0,42","0,01",,"0,17",7,,,,,,,,6
16/02/2020,7,20,42,,30,39,,,,,8,,,,,,,,5
17/02/2020,25,25,50,"3,39",63,35,"0,56","0,01",,"0,26",7,,,,,,,,7
18/02/2020,9,30,,,44,36,,,,,8,,,,,,,,5
19/02/2020,12,26,25,"1,44",44,37,"0,28","0,01",,"0,94",7,,,,,,,,4
20/02/2020,31,33,33,,81,24,,,,,5,,,,,,,,5
21/02/2020,40,36,41,2,97,23,"0,69","0,01",,"0,47",5,,,,,,,,7
22/02/2020,19,31,35,,60,34,,,,,6,,,,,,,,5
23/02/2020,9,28,31,"1,72",41,35,"0,28","0,01",,"0,51",6,,,,,,,,3
24/02/2020,39,48,43,,108,25,,,,,5,,,,,,,,5
25/02/2020,24,41,63,"8,4",78,28,"0,56","0,01",,"0,19",5,,,,,,,,4
26/02/2020,22,40,,,72,30,,,,,6,,,,,,,,4
27/02/2020,9,24,59,"5,84",37,39,"0,56","0,01",,"0,1",6,,,,,,,,3
28/02/2020,11,28,128,,44,37,,,,,6,,,,,,,,6
29/02/2020,3,12,72,"5,14",17,47,"1,25","0,01",,"0,12",8,,,,,,,,6
01/03/2020,1,1,21,,2,69,,,,,8,,,,,,,,3
02/03/2020,,,38,"4,17",,68,"0,28","0,01",,"0,06",,,,,,,,,4
03/03/2020,2,10,22,,14,61,,,,,5,,,,,,,,3
04/03/2020,8,17,19,"2,22",29,43,"0,14","0,01",,"0,03",6,,,,,,,,4
05/03/2020,3,15,25,,18,52,,,"0,04",,6,"0,04","0,04","0,04","0,04","0,04","0,04","0,04",5
06/03/2020,3,14,23,"2,36",18,67,"0,14","0,01",,"0,06",5,,,,,,,,3
07/03/2020,9,24,25,"2,22",37,59,"0,14","0,01",,"0,06",4,,,,,,,,3
08/03/2020,7,27,28,"2,5",38,47,"0,14","0,01",,"0,07",4,,,,,,,,3
09/03/2020,16,33,37,"4,21",57,43,"0,28","0,01",,"0,14",5,,,,,,,,4
10/03/2020,18,46,45,,74,41,,,,,4,,,,,,,,4
11/03/2020,43,58,61,"4,35",124,29,"0,97","0,02",,"0,58",4,,,,,,,,6
12/03/2020,41,48,53,"4,49",110,45,"0,69","0,01",,"0,21",7,,,,,,,,5
13/03/2020,6,26,39,,35,61,,,"0,04",,10,"0,04","0,04","0,07","0,04","0,04","0,07","0,04",3
14/03/2020,9,23,29,,37,44,,,,,7,,,,,,,,4
15/03/2020,2,10,22,"1,43",13,65,"0,28","0,01",,"0,06",8,,,,,,,,3
16/03/2020,2,17,12,"1,29",20,64,"0,14","0,01",,"0,04",6,,,,,,,,3
17/03/2020,8,22,21,"0,46",35,49,"0,14","0,01",,"0,15",5,,,,,,,,3
18/03/2020,5,16,26,,23,67,,,,,6,,,,,,,,3
19/03/2020,2,9,21,"0,87",12,67,"0,42","0,01",,"0,08",7,,,,,,,,3
20/03/2020,2,11,17,"1,15",15,79,"0,28","0,01",,"0,1",6,,,,,,,,3
21/03/2020,2,12,,,14,75,,,,,5,,,,,,,,3
22/03/2020,2,6,11,"0,46",8,74,"0,14","0,01",,"0,04",6,,,,,,,,3
23/03/2020,3,12,17,,17,70,,,,,5,,,,,,,,3
24/03/2020,2,4,24,"0,74",7,87,"0,14","0,01",,"0,06",5,,,,,,,,3
25/03/2020,3,20,17,,25,58,,,,,4,,,,,,,,3
26/03/2020,14,18,20,"1,01",39,56,"0,42","0,01",,"0,1",3,,,,,,,,3
27/03/2020,5,26,16,,33,51,,,,,3,,,,,,,,3
28/03/2020,2,12,18,"0,74",14,61,"0,28","0,01",,"0,13",4,,,,,,,,3
29/03/2020,2,9,,,11,59,,,,,5,,,,,,,,3
30/03/2020,3,13,23,"1,71",17,67,"0,28","0,01",,"0,08",5,,,,,,,,3
31/03/2020,2,11,9,,14,60,,,,,5,,,,,,,,3
01/04/2020,2,12,11,"0,87",16,70,0,0,,"0,04",6,,,,,,,,3
02/04/2020,2,11,14,,15,73,,,,,5,,,,,,,,3
03/04/2020,7,16,17,"0,74",27,59,"0,28","0,01",,"0,06",4,,,,,,,,3
04/04/2020,3,12,18,,17,68,,,,,5,,,,,,,,3
05/04/2020,2,8,17,"1,29",11,82,"0,28","0,01",,"0,07",5,,,,,,,,3
06/04/2020,4,16,,,23,74,,,,,5,,,,,,,,3
07/04/2020,2,13,19,"2,03",17,93,"0,28","0,01",,"0,08",5,,,,,,,,4
08/04/2020,6,24,23,,34,67,,,,,5,,,,,,,,3
09/04/2020,3,18,22,"2,17",23,76,"0,42","0,01",,"0,14",5,,,,,,,,4
10/04/2020,2,16,26,,19,72,,,,,6,,,,,,,,4
11/04/2020,2,12,23,"1,89",16,76,"0,42","0,01",,"0,13",6,,,,,,,,4
12/04/2020,2,4,21,,6,94,,,,,7,,,,,,,,4
13/04/2020,2,5,15,,7,102,,,,,6,,,,,,,,4
14/04/2020,2,10,,,14,87,,,,,6,,,,,,,,3
15/04/2020,3,15,17,"0,47",19,66,"0,33","0,01",,"0,11",5,,,,,,,,4
16/04/2020,6,17,20,,26,63,,,,,5,,,,,,,,3
17/04/2020,5,21,23,"1,72",28,59,"0,19","0,01",,"0,1",5,,,,,,,,3
18/04/2020,4,13,21,,19,54,,,,,5,,,,,,,,4
19/04/2020,1,8,10,"0,06",10,62,0,"0,01",,"0,03",6,,,,,,,,3
20/04/2020,6,14,17,,23,47,,,,,6,,,,,,,,3
21/04/2020,,,14,"0,33",,56,0,"0,01",,"0,03",5,,,,,,,,3
22/04/2020,7,16,,,26,62,,,,,5,,,,,,,,3
23/04/2020,,,24,"0,75",,76,"0,06","0,01",,"0,07",5,,,,,,,,3
24/04/2020,,,27,,,64,,,,,4,,,,,,,,4
25/04/2020,,,21,"1,31",,72,"0,06","0,01",,"0,11",4,,,,,,,,3
26/04/2020,,,,,,60,,,,,5,,,,,,,,3
27/04/2020,,,21,"1,03",,54,"0,19","0,01",,"0,11",4,,,,,,,,3
28/04/2020,2,6,12,,9,65,,,,,4,,,,,,,,3
29/04/2020,3,10,13,"1,63",15,64,"0,14","0,01",,"0,06",4,,,,,,,,3
30/04/2020,2,6,,,9,66,,,,,4,,,,,,,,3
01/05/2020,1,2,12,"1,31",3,56,0,"0,01",,"0,01",5,,,,,,,,3
02/05/2020,2,7,20,,10,46,,,,,5,,,,,,,,3
03/05/2020,3,15,19,"2,56",20,52,"0,06","0,01",,"0,03",5,,,,,,,,3
04/05/2020,14,20,25,,41,53,,,,,4,,,,,,,,3
05/05/2020,11,31,30,"2,87",48,42,"0,56","0,01",,"0,31",5,,,,,,,,4
06/05/2020,13,23,,,42,49,,,,,6,,,,,,,,4
07/05/2020,10,20,26,"1,62",35,59,"0,28","0,01",,"0,21",6,,,,,,,,3
08/05/2020,3,11,26,,15,70,,,"0,04",,7,"0,04","0,04","0,04","0,04","0,04","0,04","0,04",3
09/05/2020,2,9,27,"1,76",12,72,"0,14","0,01",,"0,08",6,,,,,,,,3
10/05/2020,1,4,16,,5,62,,,,,5,,,,,,,,3
11/05/2020,2,5,10,"0,51",7,65,"0,14",0,,"0,01",5,,,,,,,,3
12/05/2020,7,15,19,,26,60,,,"0,04",,5,"0,04","0,04","0,04","0,04","0,04","0,04","0,04",3
13/05/2020,2,10,13,"1,43",13,71,"0,14","0,01",,"0,04",5,,,,,,,,3
14/05/2020,2,12,11,,15,69,,,,,5,,,,,,,,3
15/05/2020,7,21,13,"3,1",31,52,"0,28","0,01",,"0,1",4,,,,,,,,3
16/05/2020,3,14,14,,18,54,,,"0,04",,4,"0,04","0,04","0,08","0,04","0,04","0,04","0,04",3
17/05/2020,2,11,13,"2,82",15,61,"0,28","0,01",,"0,06",5,,,,,,,,3
18/05/2020,12,23,21,,41,48,,,,,4,,,,,,,,3
19/05/2020,8,33,26,"1,01",45,61,"0,28","0,01",,"0,03",5,,,,,,,,3
20/05/2020,9,32,,,46,63,,,,,6,,,,,,,,4
21/05/2020,9,30,26,"2,96",44,68,"0,28","0,01",,"0,5",6,,,,,,,,4
22/05/2020,15,31,29,,54,71,,,,,6,,,,,,,,4
23/05/2020,3,17,20,"2,12",21,76,"0,14","0,01",,"0,07",7,,,,,,,,3
24/05/2020,2,7,,,10,72,,,,,7,,,,,,,,3
25/05/2020,9,24,21,"1,99",38,51,"0,14","0,01",,"0,06",5,,,,,,,,3
26/05/2020,7,25,19,,35,57,,,,,5,,,,,,,,4
27/05/2020,5,20,22,"1,99",28,78,"0,14","0,01",,"0,24",5,,,,,,,,3
28/05/2020,4,19,17,,24,77,,,,,5,,,,,,,,3
29/05/2020,6,23,25,"1,71",32,75,"0,14","0,01",,"0,06",5,,,,,,,,3
30/05/2020,3,15,14,,19,78,,,,,5,,,,,,,,3
31/05/2020,2,7,20,"1,99",9,86,"0,14","0,01",,"0,08",6,,,,,,,,3
01/06/2020,5,21,,,28,74,,,,,5,,,,,,,,3
02/06/2020,4,20,28,"4,11",26,72,"0,28","0,01",,"0,06",5,,,,,,,,3
03/06/2020,7,26,36,,36,66,,,,,5,,,,,,,,3
04/06/2020,3,19,20,"1,06",23,57,"0,14","0,01",,"0,03",5,,,,,,,,3
05/06/2020,6,21,,,30,68,,,,,5,,,,,,,,3
06/06/2020,6,21,28,"2,12",30,66,"0,56","0,01",,"0,06",6,,,,,,,,3
07/06/2020,2,7,22,,11,67,,,,,7,,,,,,,,3
08/06/2020,5,19,13,"0,32",27,45,"0,14","0,01",,"0,04",5,,,,,,,,3
09/06/2020,5,21,,,29,56,,,,,4,,,,,,,,3
10/06/2020,5,19,20,"0,78",27,63,"0,28","0,01",,"0,08",5,,,,,,,,3
11/06/2020,5,16,31,,23,65,,,,,5,,,,,,,,3
12/06/2020,2,7,19,"0,36",10,64,"0,14","0,01",,"0,01",5,,,,,,,,3
13/06/2020,1,6,,,8,75,,,,,5,,,,,,,,3
14/06/2020,2,13,21,"1,75",16,73,"0,28","0,01",,"0,04",4,,,,,,,,3
15/06/2020,10,26,29,"3,12",40,57,"0,28","0,01",,"0,06",4,,,,,,,,3
16/06/2020,4,17,25,"1,87",24,62,"0,28","0,01",,"0,03",5,,,,,,,,3
17/06/2020,7,18,,,28,60,,,,,5,,,,,,,,3
18/06/2020,4,15,28,"1,6",22,64,"0,28","0,01",,"0,08",5,,,,,,,,4
19/06/2020,5,16,,,24,60,,,,,5,,,,,,,,3
20/06/2020,3,12,,,17,51,,,,,5,,,,,,,,3
21/06/2020,3,15,,,20,50,,,,,5,,,,,,,,3
22/06/2020,10,24,,,39,44,,,,,4,,,,,,,,3
23/06/2020,5,16,39,"6,18",24,54,"0,28","0,01",,"0,08",6,,,,,,,,3
24/06/2020,4,17,26,"2,99",22,55,"0,28","0,01",,"2,75",5,,,,,,,,3
25/06/2020,8,29,,,41,57,,,,,4,,,,,,,,3
26/06/2020,9,28,30,"3,96",41,65,"0,28","0,01",,"0,07",4,,,,,,,,3
27/06/2020,3,20,28,,24,66,,,,,5,,,,,,,,3
28/06/2020,4,15,31,"2,99",21,54,"0,56","0,01",,"0,11",6,,,,,,,,3
29/06/2020,14,24,38,,46,44,,,,,7,,,,,,,,3
30/06/2020,7,20,36,"4,05",30,47,"0,42","0,01",,"0,11",7,,,,,,,,3
01/07/2020,9,24,45,"6,41",38,55,"0,56","0,01",,"0,24",7,,,,,,,,3
02/07/2020,6,19,31,"3,49",28,59,"0,42","0,01",,"0,07",7,,,,,,,,3
03/07/2020,5,13,27,,21,58,,,"0,04",,5,"0,04","0,04","0,04","0,04","0,04","0,04","0,04",3
04/07/2020,4,13,27,"1,96",20,54,"0,14","0,01",,"0,03",6,,,,,,,,3
05/07/2020,3,11,25,,16,56,,,,,6,,,,,,,,3
06/07/2020,13,32,31,"2,8",53,48,"0,28","0,01",,"0,32",5,,,,,,,,3
07/07/2020,14,23,34,,45,51,,,"0,04",,5,"0,08","0,04","0,07","0,04","0,04","0,08","0,04",4
08/07/2020,5,19,24,"2,52",26,54,"0,14","0,01",,"0,06",5,,,,,,,,4
09/07/2020,8,28,33,,40,51,,,,,4,,,,,,,,4
10/07/2020,7,28,28,"2,66",39,66,"0,28","0,01",,"0,04",5,,,,,,,,4
11/07/2020,4,13,27,,19,,,,"0,04",,6,"0,04","0,04","0,04","0,04","0,04","0,04","0,04",4
12/07/2020,2,13,24,"1,54",16,,"0,28","0,01",,"0,07",5,,,,,,,,4
13/07/2020,11,22,,,39,60,,,,,4,,,,,,,,7
14/07/2020,7,29,25,"1,68",39,55,"0,7","0,01",,"0,11",5,,,,,,,,8
15/07/2020,6,20,19,,29,73,,,"0,04",,7,"0,08","0,04","0,04","0,04","0,04","0,04","0,04",6
16/07/2020,6,21,20,"1,68",30,84,"0,14","0,01",,"0,07",7,,,,,,,,5
17/07/2020,7,21,23,"2,24",31,62,"0,28","0,02",,"0,11",6,,,,,,,,5
18/07/2020,3,12,20,"1,54",17,62,"0,14","0,01",,"0,06",7,,,,,,,,6
19/07/2020,3,10,21,,14,72,,,"0,04",,7,"0,04","0,04","0,04","0,04","0,04","0,04","0,04",5
20/07/2020,5,16,,,23,68,,,,,5,,,,,,,,5
21/07/2020,8,19,21,,31,54,,,,,5,,,,,,,,5
22/07/2020,9,30,,,44,50,,,,,4,,,,,,,,5
23/07/2020,9,28,35,,41,76,,,,,5,,,,,,,,6
24/07/2020,10,27,,,42,80,,,,,5,,,,,,,,7
25/07/2020,4,17,24,,23,84,,,,,6,,,,,,,,5
26/07/2020,3,14,,,19,83,,,,,7,,,,,,,,4
27/07/2020,7,23,30,,35,86,,,"0,2",,6,"0,1","0,08","0,22","0,17","0,14","0,21","0,16",5
28/07/2020,10,27,,,41,77,,,,,6,,,,,,,,6
29/07/2020,6,16,34,,25,80,,,,,7,,,,,,,,5
30/07/2020,10,28,,,43,65,,,,,5,,,,,,,,5
31/07/2020,12,31,,,49,72,,,,,6,,,,,,,,5
01/08/2020,6,23,,,32,75,,,,,7,,,,,,,,5
02/08/2020,4,17,22,,23,72,,,,,7,,,,,,,,5
03/08/2020,5,14,,,20,69,,,,,6,,,,,,,,5
04/08/2020,6,18,22,,27,63,,,"0,04",,5,"0,04","0,04","0,04","0,04","0,04","0,04","0,04",5
05/08/2020,5,15,,,22,73,,,,,6,,,,,,,,5
06/08/2020,9,22,23,,35,64,,,"0,04",,7,"0,04","0,04","0,07","0,04","0,04","0,07","0,04",5
07/08/2020,11,29,,,46,67,,,,,6,,,,,,,,4
08/08/2020,7,24,,,34,76,,,,,3,,,,,,,,6
09/08/2020,6,17,,,26,81,,,,,1,,,,,,,,7
10/08/2020,11,27,,,44,76,,,,,1,,,,,,,,5
11/08/2020,5,18,,,25,81,,,,,1,,,,,,,,
12/08/2020,4,21,,,27,92,,,"0,07",,1,"0,07","0,07","0,07","0,07","0,07","0,07","0,07",
13/08/2020,7,24,37,"3,81",35,75,"0,7","0,01",,"0,08",1,,,,,,,,
14/08/2020,6,18,33,,26,76,,,,,1,,,,,,,,5
15/08/2020,3,16,36,"5,89",21,74,"0,42","0,01",,"0,07",1,,,,,,,,5
16/08/2020,3,12,24,,16,82,,,,,1,,,,,,,,6
17/08/2020,5,23,26,"2,69",30,79,"0,28","0,01",,"0,06",,,,,,,,,6
18/08/2020,6,32,23,,42,61,,,,,,,,,,,,,7
19/08/2020,8,29,25,"3,11",41,67,"0,83","0,01",,"0,04",,,,,,,,,5
20/08/2020,6,26,20,,34,76,,,,,,,,,,,,,6
21/08/2020,5,27,22,"4,08",35,68,"0,28","0,01",,"0,06",,,,,,,,,6
22/08/2020,6,24,20,,34,56,,,,,,,,,,,,,5
23/08/2020,4,20,18,"1,17",26,58,"0,28","0,01",,"0,06",,,,,,,,,5
24/08/2020,5,22,,,30,63,,,,,,,,,,,,,3
25/08/2020,5,17,24,"2,5",25,65,"0,28","0,01",,"0,02",,,,,,,,,3
26/08/2020,10,14,24,,29,57,,,,,,,,,,,,,3
27/08/2020,7,15,26,"3,06",25,61,"0,28","0,01",,"0,02",,,,,,,,,3
28/08/2020,6,16,26,,25,67,,,"0,04",,,"0,08","0,04","0,04","0,04","0,04","0,04","0,04",3
29/08/2020,2,8,27,"3,61",12,61,"0,28","0,01",,"0,03",,,,,,,,,3
30/08/2020,3,9,17,,13,67,,,,,,,,,,,,,4
31/08/2020,4,14,,,21,66,,,,,,,,,,,,,4
01/09/2020,5,18,25,,25,60,,,,,,,,,,,,,3
02/09/2020,6,21,,,30,68,,,,,,,,,,,,,4
03/09/2020,6,23,37,"6,25",31,72,"0,42","0,01",,"0,06",6,,,,,,,,4
04/09/2020,5,23,21,"2,64",30,75,"0,28","0,01",,"0,03",5,,,,,,,,4
05/09/2020,3,19,19,,23,77,,,"0,04",,6,"0,04","0,04","0,08","0,04","0,04","0,08","0,04",3
06/09/2020,2,14,16,"2,36",17,82,"0,14","0,01",,"0,03",5,,,,,,,,3
07/09/2020,4,15,20,,21,71,,,,,5,,,,,,,,4
08/09/2020,5,21,26,"1,67",28,72,"0,28","0,01",,"0,05",4,,,,,,,,5
09/09/2020,4,23,26,"2,22",30,80,"0,83","0,01",,"0,09",5,,,,,,,,6
10/09/2020,8,26,20,"1,81",38,72,"0,28","0,01",,"0,06",6,,,,,,,,5
11/09/2020,8,26,23,"2,08",37,78,"0,28","0,01",,"0,03",6,,,,,,,,4
12/09/2020,3,20,20,"3,19",24,94,"0,56","0,01",,"0,03",6,,,,,,,,4
13/09/2020,3,20,,,24,79,,,,,5,,,,,,,,3
14/09/2020,7,28,27,"2,93",39,77,"0,42","0,01",,"0,12",6,,,,,,,,4
15/09/2020,4,20,33,"3,9",27,80,"0,56","0,01",,"0,3",7,,,,,,,,5
16/09/2020,8,18,6,"0,43",31,80,0,0,,0,7,,,,,,,,4
17/09/2020,7,22,,,32,63,,,,,6,,,,,,,,3
18/09/2020,3,15,30,"1,96",20,55,"0,28","0,01",,"0,08",5,,,,,,,,3
19/09/2020,3,8,,,13,55,,,,,6,,,,,,,,3
20/09/2020,1,6,12,"0,43",8,70,"0,14","0,01",,0,6,,,,,,,,3
21/09/2020,6,19,,,27,65,,,,,6,,,,,,,,3
22/09/2020,5,16,15,"0,85",23,68,"0,14","0,01",,0,6,,,,,,,,3
23/09/2020,6,23,20,,33,54,,,,,6,,,,,,,,3
24/09/2020,2,10,29,"3,21",14,50,"0,14","0,01",,"0,01",6,,,,,,,,3
25/09/2020,3,9,30,,13,72,,,,,4,,,,,,,,3
26/09/2020,2,6,25,"1,4",9,71,"0,42","0,01",,"0,09",3,,,,,,,,3
27/09/2020,2,11,21,,15,69,,,,,3,,,,,,,,3
28/09/2020,7,20,,,31,60,,,,,3,,,,,,,,4
29/09/2020,6,19,,,27,67,,,,,4,,,,,,,,5
30/09/2020,13,22,10,"0,89",42,61,0,0,,"0,19",5,,,,,,,,4
01/10/2020,5,17,30,,25,62,,,,,5,,,,,,,,4
02/10/2020,1,7,28,"1,58",9,66,"0,42","0,01",,"0,15",4,,,,,,,,3
03/10/2020,1,5,24,,7,70,,,,,3,,,,,,,,3
04/10/2020,1,3,39,"6,58",5,69,"0,28","0,01",,"0,15",3,,,,,,,,4
05/10/2020,5,19,20,,27,48,,,,,3,,,,,,,,6
06/10/2020,10,28,25,"2,7",43,47,"0,28","0,01",,"0,08",4,,,,,,,,6
07/10/2020,11,28,29,,45,40,,,"0,1",,5,"0,12","0,07","0,17","0,15","0,11","0,27","0,1",6
08/10/2020,10,23,32,"5,75",38,44,"0,28","0,01",,"0,06",6,,,,,,,,6
09/10/2020,2,10,21,,13,57,,,,,6,,,,,,,,5
10/10/2020,2,13,19,"1,86",15,54,"0,28","0,01",,"0,05",6,,,,,,,,5
11/10/2020,1,4,11,,5,80,,,,,4,,,,,,,,4
12/10/2020,2,11,15,"0,75",14,73,0,"0,01",,0,3,,,,,,,,3
13/10/2020,7,21,,,33,47,,,,,3,,,,,,,,4
14/10/2020,18,32,32,"4,5",59,27,"0,56","0,01",,"0,33",5,,,,,,,,4
15/10/2020,4,15,17,,21,56,,,"0,04",,4,"0,09","0,04","0,04","0,04","0,04","0,07","0,04",4
16/10/2020,6,25,24,"1,86",34,59,"0,28","0,01",,"0,15",4,,,,,,,,4
17/10/2020,3,17,22,"2,28",21,73,"0,28","0,01",,"0,03",5,,,,,,,,3
18/10/2020,2,16,19,"1,72",19,74,"0,28","0,01",,"0,02",5,,,,,,,,4
19/10/2020,7,26,,,36,58,,,,,6,,,,,,,,5
20/10/2020,28,29,,,72,55,,,,,6,,,,,,,,5
21/10/2020,12,35,55,,54,42,,,,,7,,,,,,,,4
22/10/2020,23,42,,,78,15,,,,,7,,,,,,,,5
23/10/2020,4,18,14,,24,48,,,"0,04",,8,"0,04","0,04","0,08","0,04","0,04","0,09","0,04",3
24/10/2020,2,11,,,14,62,,,,,6,,,,,,,,4
25/10/2020,1,4,16,,6,80,,,,,6,,,,,,,,4
26/10/2020,2,13,,,16,69,,,,,4,,,,,,,,4
27/10/2020,6,19,15,,28,58,,,"0,08",,3,"0,08","0,04","0,12","0,07","0,07","0,12","0,07",3
28/10/2020,11,38,,,55,42,,,,,4,,,,,,,,4
29/10/2020,26,45,32,,85,31,,,,,7,,,,,,,,5
30/10/2020,21,40,,,72,40,,,,,8,,,,,,,,4
31/10/2020,10,31,,,46,42,,,,,9,,,,,,,,3
01/11/2020,6,27,,,36,41,,,,,8,,,,,,,,4
02/11/2020,33,42,,,93,33,,,,,8,,,,,,,,4
03/11/2020,9,33,,,47,44,,,,,8,,,,,,,,3
04/11/2020,5,20,,,28,53,,,,,7,,,,,,,,4
05/11/2020,4,19,,,24,56,,,,,6,,,,,,,,5
06/11/2020,5,19,,,25,58,,,,,6,,,,,,,,4
07/11/2020,5,21,,,29,50,,,,,6,,,,,,,,3
08/11/2020,18,31,,,59,27,,,,,5,,,,,,,,3
09/11/2020,30,39,,,85,26,,,,,,,,,,,,,3
10/11/2020,22,39,25,,73,27,,,,,,,,,,,,,3
11/11/2020,28,40,29,"1,67",82,30,"1,25","0,01",,"0,31",,,,,,,,,4
12/11/2020,38,47,35,,106,20,,,,,,,,,,,,,4
13/11/2020,23,47,31,"2,22",83,25,"0,69","0,01",,"0,1",,,,,,,,,4
14/11/2020,15,31,37,,54,23,,,,,,,,,,,,,4
15/11/2020,4,13,15,"0,56",19,35,"0,42","0,01",,"0,05",,,,,,,,,3
16/11/2020,15,31,21,,53,29,,,"0,15",,,"0,11","0,11","0,31","0,17","0,14","0,44","0,09",3
17/11/2020,21,34,26,"1,67",65,27,"0,69","0,01",,"0,18",,,,,,,,,3
18/11/2020,14,45,34,"3,33",66,23,"0,56","0,01",,"0,12",,,,,,,,,3
19/11/2020,21,36,34,"2,22",67,35,"0,56","0,01",,"0,22",,,,,,,,,3
20/11/2020,38,44,29,,101,23,,,"0,23",,3,"0,19","0,09","0,29","0,18","0,15","0,35","0,18",4
21/11/2020,8,30,21,"1,53",41,35,"0,42","0,01",,"0,05",2,,,,,,,,3
22/11/2020,6,24,22,,32,43,,,,,3,,,,,,,,4
23/11/2020,19,37,30,"1,77",66,38,"0,42","0,01",,"0,13",2,,,,,,,,5
24/11/2020,34,47,44,,99,27,,,"0,41",,3,"0,23","0,12","0,75","0,35","0,27","0,66","0,22",5
25/11/2020,43,54,48,"2,88",120,22,"1,53","0,01",,"0,27",4,,,,,,,,5
26/11/2020,7,34,26,"1,49",45,53,"0,42","0,01",,"0,12",6,,,,,,,,3
